Site,SKU,Device,Color,RAM,Storage,isDefault
AE_AR,SM-F776BLIOMEA,Galaxy Z Flip8,Pink,12GB,256GB,
AE_AR,SM-F776BLIPMEA,Galaxy Z Flip8,Pink,12GB,512GB,O
AE_AR,SM-F776BZKOMEA,Galaxy Z Flip8,Graphite,12GB,256GB,
AE_AR,SM-F776BZKPMEA,Galaxy Z Flip8,Graphite,12GB,512GB,
AE_AR,SM-F776BZWOMEA,Galaxy Z Flip8,Cream,12GB,256GB,
AE_AR,SM-F776BZWPMEA,Galaxy Z Flip8,Cream,12GB,512GB,
AE_AR,SM-F971BLVIMEA,Galaxy Z Fold8,Lavender,12GB,256GB,
AE_AR,SM-F971BLVOMEA,Galaxy Z Fold8,Lavender,12GB,512GB,O
AE_AR,SM-F971BLVPMEA,Galaxy Z Fold8,Lavender,16GB,1TB,
AE_AR,SM-F971BZGIMEA,Galaxy Z Fold8,Pistachio,12GB,256GB,
AE_AR,SM-F971BZGOMEA,Galaxy Z Fold8,Pistachio,12GB,512GB,O
AE_AR,SM-F971BZGPMEA,Galaxy Z Fold8,Pistachio,16GB,1TB,
AE_AR,SM-F971BZKIMEA,Galaxy Z Fold8,Graphite,12GB,256GB,
AE_AR,SM-F971BZKOMEA,Galaxy Z Fold8,Graphite,12GB,512GB,
AE_AR,SM-F971BZKPMEA,Galaxy Z Fold8,Graphite,16GB,1TB,
AE_AR,SM-F971BZWIMEA,Galaxy Z Fold8,Cream,12GB,256GB,
AE_AR,SM-F971BZWOMEA,Galaxy Z Fold8,Cream,12GB,512GB,
AE_AR,SM-F971BZWPMEA,Galaxy Z Fold8,Cream,16GB,1TB,
AE_AR,SM-F976BDGIMEA,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,
AE_AR,SM-F976BDGOMEA,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,O
AE_AR,SM-F976BDGPMEA,Galaxy Z Fold8 Ultra,Green Shadow,16GB,1TB,
AE_AR,SM-F976BZKIMEA,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
AE_AR,SM-F976BZKOMEA,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
AE_AR,SM-F976BZKPMEA,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
AE_AR,SM-F976BZVIMEA,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,
AE_AR,SM-F976BZVOMEA,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,O
AE_AR,SM-F976BZVPMEA,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
AE_AR,SM-F976BZWIMEA,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
AE_AR,SM-F976BZWOMEA,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
AE_AR,SM-F976BZWPMEA,Galaxy Z Fold8 Ultra,Cream,16GB,1TB,
AE_AR,SM-L340NZEAMEA,Galaxy Watch9,Cream,,BLUETOOTH,O
AE_AR,SM-L340NZKAMEA,Galaxy Watch9,Graphite,,BLUETOOTH,
AE_AR,SM-L345FZEAXSG,Galaxy Watch9,Cream,,LTE,O
AE_AR,SM-L345FZKAXSG,Galaxy Watch9,Graphite,,LTE,
AE_AR,SM-L350NZKAMEA,Galaxy Watch9,Graphite,,BLUETOOTH,O
AE_AR,SM-L350NZSAMEA,Galaxy Watch9,Silver,,BLUETOOTH,
AE_AR,SM-L355FZKAXSG,Galaxy Watch9,Graphite,,LTE,O
AE_AR,SM-L355FZSAXSG,Galaxy Watch9,Silver,,LTE,
AE_AR,SM-L715FZKAXSG,Galaxy Watch Ultra2,Titanium Gray,,LTE,
AE_AR,SM-L715FZSAXSG,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
AT,SM-F776BLGGEUE,Galaxy Z Flip8,Mint,12GB,256GB,
AT,SM-F776BLGHEUE,Galaxy Z Flip8,Mint,12GB,512GB,O
AT,SM-F776BLIGEUE,Galaxy Z Flip8,Pink,12GB,256GB,
AT,SM-F776BLIHEUE,Galaxy Z Flip8,Pink,12GB,512GB,O
AT,SM-F776BZKGEUE,Galaxy Z Flip8,Graphite,12GB,256GB,
AT,SM-F776BZKHEUE,Galaxy Z Flip8,Graphite,12GB,512GB,
AT,SM-F776BZWGEUE,Galaxy Z Flip8,Cream,12GB,256GB,
AT,SM-F776BZWHEUE,Galaxy Z Flip8,Cream,12GB,512GB,
AT,SM-F971BLVBEUE,Galaxy Z Fold8,Lavender,12GB,256GB,
AT,SM-F971BLVCEUE,Galaxy Z Fold8,Lavender,12GB,512GB,O
AT,SM-F971BLVNEUE,Galaxy Z Fold8,Lavender,16GB,1TB,
AT,SM-F971BZGBEUE,Galaxy Z Fold8,Pistachio,12GB,256GB,
AT,SM-F971BZGCEUE,Galaxy Z Fold8,Pistachio,12GB,512GB,O
AT,SM-F971BZGNEUE,Galaxy Z Fold8,Pistachio,16GB,1TB,
AT,SM-F971BZKBEUE,Galaxy Z Fold8,Graphite,12GB,256GB,
AT,SM-F971BZKCEUE,Galaxy Z Fold8,Graphite,12GB,512GB,
AT,SM-F971BZKNEUE,Galaxy Z Fold8,Graphite,16GB,1TB,
AT,SM-F971BZWBEUE,Galaxy Z Fold8,Cream,12GB,256GB,
AT,SM-F971BZWCEUE,Galaxy Z Fold8,Cream,12GB,512GB,
AT,SM-F976BDGBEUE,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,
AT,SM-F976BDGCEUE,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,O
AT,SM-F976BDGNEUE,Galaxy Z Fold8 Ultra,Green Shadow,16GB,1TB,
AT,SM-F976BZKBEUE,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
AT,SM-F976BZKCEUE,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
AT,SM-F976BZKNEUE,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
AT,SM-F976BZVBEUE,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,
AT,SM-F976BZVCEUE,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,O
AT,SM-F976BZVNEUE,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
AT,SM-F976BZWBEUE,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
AT,SM-F976BZWCEUE,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
AT,SM-F976BZWNEUE,Galaxy Z Fold8 Ultra,Cream,16GB,1TB,
AT,SM-L340NZEAEUE,Galaxy Watch9,Cream,,BLUETOOTH,O
AT,SM-L340NZKAEUE,Galaxy Watch9,Graphite,,BLUETOOTH,
AT,SM-L345FZEAEUE,Galaxy Watch9,Cream,,LTE,O
AT,SM-L345FZKAEUE,Galaxy Watch9,Graphite,,LTE,
AT,SM-L350NZKAEUE,Galaxy Watch9,Graphite,,BLUETOOTH,O
AT,SM-L350NZSAEUE,Galaxy Watch9,Silver,,BLUETOOTH,
AT,SM-L355FZKAEUE,Galaxy Watch9,Graphite,,LTE,O
AT,SM-L355FZSAEUE,Galaxy Watch9,Silver,,LTE,
AT,SM-L715FZKAEUE,Galaxy Watch Ultra2,Titanium Gray,,LTE,
AT,SM-L715FZSAEUE,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
AU,SM-F776BLGAATS,Galaxy Z Flip8,Mint,12GB,256GB,O
AU,SM-F776BLGEATS,Galaxy Z Flip8,Mint,12GB,512GB,
AU,SM-F776BLIAATS,Galaxy Z Flip8,Pink,12GB,256GB,O
AU,SM-F776BLIEATS,Galaxy Z Flip8,Pink,12GB,512GB,
AU,SM-F776BZKAATS,Galaxy Z Flip8,Graphite,12GB,256GB,
AU,SM-F776BZKEATS,Galaxy Z Flip8,Graphite,12GB,512GB,
AU,SM-F776BZWAATS,Galaxy Z Flip8,Cream,12GB,256GB,
AU,SM-F776BZWEATS,Galaxy Z Flip8,Cream,12GB,512GB,
AU,SM-F971BLVDATS,Galaxy Z Fold8,Lavender,12GB,256GB,O
AU,SM-F971BLVGATS,Galaxy Z Fold8,Lavender,12GB,512GB,
AU,SM-F971BLVHATS,Galaxy Z Fold8,Lavender,16GB,1TB,
AU,SM-F971BZGDATS,Galaxy Z Fold8,Pistachio,12GB,256GB,O
AU,SM-F971BZGGATS,Galaxy Z Fold8,Pistachio,12GB,512GB,
AU,SM-F971BZGHATS,Galaxy Z Fold8,Pistachio,16GB,1TB,
AU,SM-F971BZKDATS,Galaxy Z Fold8,Graphite,12GB,256GB,
AU,SM-F971BZKGATS,Galaxy Z Fold8,Graphite,12GB,512GB,
AU,SM-F971BZKHATS,Galaxy Z Fold8,Graphite,16GB,1TB,
AU,SM-F971BZWDATS,Galaxy Z Fold8,Cream,12GB,256GB,
AU,SM-F971BZWGATS,Galaxy Z Fold8,Cream,12GB,512GB,
AU,SM-F971BZWHATS,Galaxy Z Fold8,Cream,16GB,1TB,
AU,SM-F976BDGDATS,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,O
AU,SM-F976BDGGATS,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,
AU,SM-F976BDGHATS,Galaxy Z Fold8 Ultra,Green Shadow,16GB,1TB,
AU,SM-F976BZKDATS,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
AU,SM-F976BZKGATS,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
AU,SM-F976BZKHATS,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
AU,SM-F976BZVDATS,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,O
AU,SM-F976BZVGATS,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,
AU,SM-F976BZVHATS,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
AU,SM-F976BZWDATS,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
AU,SM-F976BZWGATS,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
AU,SM-F976BZWHATS,Galaxy Z Fold8 Ultra,Cream,16GB,1TB,
AU,SM-L340NZEAXSA,Galaxy Watch9,Cream,,BLUETOOTH,O
AU,SM-L340NZEDXSA,Galaxy Watch9,Cream,,BLUETOOTH,O
AU,SM-L340NZKAXSA,Galaxy Watch9,Graphite,,BLUETOOTH,
AU,SM-L340NZKDXSA,Galaxy Watch9,Graphite,,BLUETOOTH,
AU,SM-L345FZEAXSA,Galaxy Watch9,Cream,,LTE,O
AU,SM-L345FZEDXSA,Galaxy Watch9,Cream,,LTE,O
AU,SM-L345FZKAXSA,Galaxy Watch9,Graphite,,LTE,
AU,SM-L345FZKDXSA,Galaxy Watch9,Graphite,,LTE,
AU,SM-L350NZKAXSA,Galaxy Watch9,Graphite,,BLUETOOTH,O
AU,SM-L350NZKDXSA,Galaxy Watch9,Graphite,,BLUETOOTH,O
AU,SM-L350NZSAXSA,Galaxy Watch9,Silver,,BLUETOOTH,
AU,SM-L350NZSDXSA,Galaxy Watch9,Silver,,BLUETOOTH,
AU,SM-L355FZKAXSA,Galaxy Watch9,Graphite,,LTE,O
AU,SM-L355FZKDXSA,Galaxy Watch9,Graphite,,LTE,O
AU,SM-L355FZSAXSA,Galaxy Watch9,Silver,,LTE,
AU,SM-L355FZSDXSA,Galaxy Watch9,Silver,,LTE,
AU,SM-L715FZKAXSA,Galaxy Watch Ultra2,Titanium Gray,,LTE,
AU,SM-L715FZSAXSA,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
BE,SM-F776BLGGEUB,Galaxy Z Flip8,Mint,12GB,256GB,O
BE,SM-F776BLGHEUB,Galaxy Z Flip8,Mint,12GB,512GB,
BE,SM-F776BLIGEUB,Galaxy Z Flip8,Pink,12GB,256GB,O
BE,SM-F776BLIHEUB,Galaxy Z Flip8,Pink,12GB,512GB,
BE,SM-F776BZKGEUB,Galaxy Z Flip8,Graphite,12GB,256GB,
BE,SM-F776BZKHEUB,Galaxy Z Flip8,Graphite,12GB,512GB,
BE,SM-F776BZWGEUB,Galaxy Z Flip8,Cream,12GB,256GB,
BE,SM-F776BZWHEUB,Galaxy Z Flip8,Cream,12GB,512GB,
BE,SM-F971BLVBEUB,Galaxy Z Fold8,Lavender,12GB,256GB,O
BE,SM-F971BLVCEUB,Galaxy Z Fold8,Lavender,12GB,512GB,
BE,SM-F971BLVNEUB,Galaxy Z Fold8,Lavender,16GB,1TB,
BE,SM-F971BZGBEUB,Galaxy Z Fold8,Pistachio,12GB,256GB,O
BE,SM-F971BZGCEUB,Galaxy Z Fold8,Pistachio,12GB,512GB,
BE,SM-F971BZGNEUB,Galaxy Z Fold8,Pistachio,16GB,1TB,
BE,SM-F971BZKBEUB,Galaxy Z Fold8,Graphite,12GB,256GB,
BE,SM-F971BZKCEUB,Galaxy Z Fold8,Graphite,12GB,512GB,
BE,SM-F971BZKNEUB,Galaxy Z Fold8,Graphite,16GB,1TB,
BE,SM-F971BZWBEUB,Galaxy Z Fold8,Cream,12GB,256GB,
BE,SM-F971BZWCEUB,Galaxy Z Fold8,Cream,12GB,512GB,
BE,SM-F971BZWNEUB,Galaxy Z Fold8,Cream,16GB,1TB,
BE,SM-F976BDGBEUB,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,O
BE,SM-F976BDGCEUB,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,
BE,SM-F976BDGNEUB,Galaxy Z Fold8 Ultra,Green Shadow,16GB,1TB,
BE,SM-F976BZKBEUB,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
BE,SM-F976BZKCEUB,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
BE,SM-F976BZKNEUB,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
BE,SM-F976BZVBEUB,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,O
BE,SM-F976BZVCEUB,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,
BE,SM-F976BZVNEUB,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
BE,SM-F976BZWBEUB,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
BE,SM-F976BZWCEUB,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
BE,SM-F976BZWNEUB,Galaxy Z Fold8 Ultra,Cream,16GB,1TB,
BE,SM-L340NZEAEUB,Galaxy Watch9,Cream,,BLUETOOTH,O
BE,SM-L340NZEDWEU,Galaxy Watch9,Cream,,BLUETOOTH,O
BE,SM-L340NZKAEUB,Galaxy Watch9,Graphite,,BLUETOOTH,
BE,SM-L345FZEAEUB,Galaxy Watch9,Cream,,LTE,O
BE,SM-L345FZKAEUB,Galaxy Watch9,Graphite,,LTE,
BE,SM-L350NZKAEUB,Galaxy Watch9,Graphite,,BLUETOOTH,O
BE,SM-L350NZKDWEU,Galaxy Watch9,Graphite,,BLUETOOTH,O
BE,SM-L350NZSAEUB,Galaxy Watch9,Silver,,BLUETOOTH,
BE,SM-L350NZSDWEU,Galaxy Watch9,Silver,,BLUETOOTH,
BE,SM-L355FZKAEUB,Galaxy Watch9,Graphite,,LTE,O
BE,SM-L355FZSAEUB,Galaxy Watch9,Silver,,LTE,
BE,SM-L715FZKAEUB,Galaxy Watch Ultra2,Titanium Gray,,LTE,
BE,SM-L715FZSAEUB,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
BE_FR,SM-F776BLGGEUB,Galaxy Z Flip8,Mint,12GB,256GB,O
BE_FR,SM-F776BLGHEUB,Galaxy Z Flip8,Mint,12GB,512GB,
BE_FR,SM-F776BLIGEUB,Galaxy Z Flip8,Pink,12GB,256GB,O
BE_FR,SM-F776BLIHEUB,Galaxy Z Flip8,Pink,12GB,512GB,
BE_FR,SM-F776BZKGEUB,Galaxy Z Flip8,Graphite,12GB,256GB,
BE_FR,SM-F776BZKHEUB,Galaxy Z Flip8,Graphite,12GB,512GB,
BE_FR,SM-F776BZWGEUB,Galaxy Z Flip8,Cream,12GB,256GB,
BE_FR,SM-F776BZWHEUB,Galaxy Z Flip8,Cream,12GB,512GB,
BE_FR,SM-F971BLVBEUB,Galaxy Z Fold8,Lavender,12GB,256GB,O
BE_FR,SM-F971BLVCEUB,Galaxy Z Fold8,Lavender,12GB,512GB,
BE_FR,SM-F971BLVNEUB,Galaxy Z Fold8,Lavender,16GB,1TB,
BE_FR,SM-F971BZGBEUB,Galaxy Z Fold8,Pistachio,12GB,256GB,O
BE_FR,SM-F971BZGCEUB,Galaxy Z Fold8,Pistachio,12GB,512GB,
BE_FR,SM-F971BZGNEUB,Galaxy Z Fold8,Pistachio,16GB,1TB,
BE_FR,SM-F971BZKBEUB,Galaxy Z Fold8,Graphite,12GB,256GB,
BE_FR,SM-F971BZKCEUB,Galaxy Z Fold8,Graphite,12GB,512GB,
BE_FR,SM-F971BZKNEUB,Galaxy Z Fold8,Graphite,16GB,1TB,
BE_FR,SM-F971BZWBEUB,Galaxy Z Fold8,Cream,12GB,256GB,
BE_FR,SM-F971BZWCEUB,Galaxy Z Fold8,Cream,12GB,512GB,
BE_FR,SM-F971BZWNEUB,Galaxy Z Fold8,Cream,16GB,1TB,
BE_FR,SM-F976BDGBEUB,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,O
BE_FR,SM-F976BDGCEUB,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,
BE_FR,SM-F976BDGNEUB,Galaxy Z Fold8 Ultra,Green Shadow,16GB,1TB,
BE_FR,SM-F976BZKBEUB,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
BE_FR,SM-F976BZKCEUB,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
BE_FR,SM-F976BZKNEUB,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
BE_FR,SM-F976BZVBEUB,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,O
BE_FR,SM-F976BZVCEUB,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,
BE_FR,SM-F976BZVNEUB,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
BE_FR,SM-F976BZWBEUB,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
BE_FR,SM-F976BZWCEUB,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
BE_FR,SM-F976BZWNEUB,Galaxy Z Fold8 Ultra,Cream,16GB,1TB,
BE_FR,SM-L340NZEAEUB,Galaxy Watch9,Cream,,BLUETOOTH,O
BE_FR,SM-L340NZEDWEU,Galaxy Watch9,Cream,,BLUETOOTH,O
BE_FR,SM-L340NZKAEUB,Galaxy Watch9,Graphite,,BLUETOOTH,
BE_FR,SM-L345FZEAEUB,Galaxy Watch9,Cream,,LTE,O
BE_FR,SM-L345FZKAEUB,Galaxy Watch9,Graphite,,LTE,
BE_FR,SM-L350NZKAEUB,Galaxy Watch9,Graphite,,BLUETOOTH,O
BE_FR,SM-L350NZKDWEU,Galaxy Watch9,Graphite,,BLUETOOTH,O
BE_FR,SM-L350NZSAEUB,Galaxy Watch9,Silver,,BLUETOOTH,
BE_FR,SM-L350NZSDWEU,Galaxy Watch9,Silver,,BLUETOOTH,
BE_FR,SM-L355FZKAEUB,Galaxy Watch9,Graphite,,LTE,O
BE_FR,SM-L355FZSAEUB,Galaxy Watch9,Silver,,LTE,
BE_FR,SM-L715FZKAEUB,Galaxy Watch Ultra2,Titanium Gray,,LTE,
BE_FR,SM-L715FZSAEUB,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
CA,SM-F776WLGAXAC,Galaxy Z Flip8,Mint,12GB,256GB,O
CA,SM-F776WLGEXAC,Galaxy Z Flip8,Mint,12GB,512GB,
CA,SM-F776WLIAXAC,Galaxy Z Flip8,Pink,12GB,256GB,O
CA,SM-F776WLIEXAC,Galaxy Z Flip8,Pink,12GB,512GB,
CA,SM-F776WZKAXAC,Galaxy Z Flip8,Graphite,12GB,256GB,
CA,SM-F776WZKEXAC,Galaxy Z Flip8,Graphite,12GB,512GB,
CA,SM-F776WZWAXAC,Galaxy Z Flip8,Cream,12GB,256GB,
CA,SM-F776WZWEXAC,Galaxy Z Flip8,Cream,12GB,512GB,
CA,SM-F971WLVAXAC,Galaxy Z Fold8,Lavender,12GB,256GB,O
CA,SM-F971WLVEXAC,Galaxy Z Fold8,Lavender,12GB,512GB,
CA,SM-F971WLVFXAC,Galaxy Z Fold8,Lavender,16GB,1TB,
CA,SM-F971WZGAXAC,Galaxy Z Fold8,Pistachio,12GB,256GB,O
CA,SM-F971WZGEXAC,Galaxy Z Fold8,Pistachio,12GB,512GB,
CA,SM-F971WZKAXAC,Galaxy Z Fold8,Graphite,12GB,256GB,
CA,SM-F971WZKEXAC,Galaxy Z Fold8,Graphite,12GB,512GB,
CA,SM-F971WZKFXAC,Galaxy Z Fold8,Graphite,16GB,1TB,
CA,SM-F971WZWAXAC,Galaxy Z Fold8,Cream,12GB,256GB,
CA,SM-F971WZWEXAC,Galaxy Z Fold8,Cream,12GB,512GB,
CA,SM-F976WDGAXAC,Galaxy Z Fold8 Ultra,Green Shadow,12GB,256GB,O
CA,SM-F976WDGEXAC,Galaxy Z Fold8 Ultra,Green Shadow,12GB,512GB,
CA,SM-F976WZKAXAC,Galaxy Z Fold8 Ultra,Graphite,12GB,256GB,
CA,SM-F976WZKEXAC,Galaxy Z Fold8 Ultra,Graphite,12GB,512GB,
CA,SM-F976WZKFXAC,Galaxy Z Fold8 Ultra,Graphite,16GB,1TB,
CA,SM-F976WZVAXAC,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,256GB,O
CA,SM-F976WZVEXAC,Galaxy Z Fold8 Ultra,Violet Shadow,12GB,512GB,
CA,SM-F976WZVFXAC,Galaxy Z Fold8 Ultra,Violet Shadow,16GB,1TB,
CA,SM-F976WZWAXAC,Galaxy Z Fold8 Ultra,Cream,12GB,256GB,
CA,SM-F976WZWEXAC,Galaxy Z Fold8 Ultra,Cream,12GB,512GB,
CA,SM-L340NZEAXAC,Galaxy Watch9,Cream,,BLUETOOTH,O
CA,SM-L340NZEDXAC,Galaxy Watch9,Cream,,BLUETOOTH,O
CA,SM-L340NZKAXAC,Galaxy Watch9,Graphite,,BLUETOOTH,
CA,SM-L340NZKDXAC,Galaxy Watch9,Graphite,,BLUETOOTH,
CA,SM-L345FZEAXAC,Galaxy Watch9,Cream,,LTE,O
CA,SM-L345FZKAXAC,Galaxy Watch9,Graphite,,LTE,
CA,SM-L350NZKAXAC,Galaxy Watch9,Graphite,,BLUETOOTH,O
CA,SM-L350NZKDXAC,Galaxy Watch9,Graphite,,BLUETOOTH,O
CA,SM-L350NZSAXAC,Galaxy Watch9,Silver,,BLUETOOTH,
CA,SM-L350NZSDXAC,Galaxy Watch9,Silver,,BLUETOOTH,
CA,SM-L355FZKAXAC,Galaxy Watch9,Graphite,,LTE,O
CA,SM-L355FZSAXAC,Galaxy Watch9,Silver,,LTE,
CA,SM-L715FZKAXAC,Galaxy Watch Ultra2,Titanium Gray,,LTE,
CA,SM-L715FZKDXAC,Galaxy Watch Ultra2,Titanium Gray,,LTE,
CA,SM-L715FZSAXAC,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
CA,SM-L715FZSDXAC,Galaxy Watch Ultra2,Titanium Silver,,LTE,O
CA_FR,SM-F776WLGAXAC,Galaxy Z Flip8,Mint,12GB,256GB,O
CA_FR,SM-F776WLGEXAC,Galaxy Z Flip8,Mint,12GB,512GB,
CA_FR,SM-F776WLIAXAC,Galaxy Z Flip8,Pink,12GB,256GB,O
CA_FR,SM-F776WLIEXAC,Galaxy Z Flip8,Pink,12GB,512GB,
CA_FR,SM-F776WZKAXAC,Galaxy Z Flip8,Graphite,12GB,256GB,
CA_FR,SM-F776WZKEXAC,Galaxy Z Flip8,Graphite,12GB,512GB,
CA_FR,SM-F776WZWAXAC,Galaxy Z Flip8,Cream,12GB,256GB,
CA_FR,SM-F776WZWEXAC,Galaxy Z Flip8,Cream,12GB,512GB,
